Blood,Menstrual.secretion,Nasal.mucosa,Saliva,Semen.fertile,Vaginal.mucosa,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7891.0,6590.0,366.0,0.0,0.0,0.0,4218.0,778.0,6497.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,6922.0,7460.0,287.0,0.0,0.0,0.0,3889.0,1209.0,6593.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7719.0,8860.0,372.0,0.0,0.0,0.0,7739.0,1494.0,5791.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,5137.0,8893.0,209.0,0.0,0.0,0.0,5783.0,1814.0,5829.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8229.0,2703.0,565.0,0.0,0.0,0.0,1167.0,0.0,7601.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,7721.0,2830.0,189.0,0.0,0.0,0.0,697.0,0.0,7767.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8701.0,6011.0,513.0,0.0,0.0,0.0,2920.0,535.0,6659.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8589.0,6216.0,544.0,0.0,0.0,0.0,3616.0,1118.0,6385.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8295.0,2143.0,395.0,0.0,0.0,0.0,926.0,256.0,7996.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1631.0,335.0,0.0,0.0,0.0,0.0,2907.0,408.0,6731.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2751.0,927.0,0.0,0.0,0.0,0.0,2171.0,311.0,6832.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2671.0,9090.0,0.0,0.0,0.0,0.0,8787.0,2051.0,5830.0
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,2557.0,9037.0,0.0,0.0,0.0,0.0,8788.0,3216.0,5866.0
