,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA,replicate_value
Menstrual.secretion,3266,,,,,,680,895,,,,420,,,,,4276,312,4956,2
Menstrual.secretion,4962,,,,,,1106,788,,,,,,,,,2556,1253,7293,3
Menstrual.secretion,3102,,,,,,,460,,,,,,,,,4929,572,4308,4
Menstrual.secretion,4354,,,,165,,261,3243,,,,343,,,,,6439,870,3529,1
Menstrual.secretion,5580,,,,,,779,1806,,,,,,,,,5127,818,6148,2
Menstrual.secretion,3368,,,,,,1543,400,,,,299,,,,,2691,602,3369,3
Menstrual.secretion,5252,,,,,,1319,1160,,,,,,,,,6876,1063,5027,4
Menstrual.secretion,2474,,,,,,6847,1563,,,,,,,,,5272,6240,4193,1
Menstrual.secretion,1879,199,,,,,1265,1022,209,,,,,,,,6454,4535,5026,2
Menstrual.secretion,2254,,,,,,4115,1284,304,,,,,,,,6754,5494,5250,3
Menstrual.secretion,1433,,,,,,3393,336,,,,,,,,,3893,3234,3515,4
Menstrual.secretion,7905,,587,,,,8894,1893,816,,,,,,,,5120,5755,6491,1
Menstrual.secretion,6958,,619,,,,8862,4626,554,,,,,,,,5309,6253,7551,2
Menstrual.secretion,6979,,497,,,,8651,7100,784,,,,,,,,5941,6960,7650,3
Menstrual.secretion,7989,,,,,,8876,5791,1585,,,,,,,,5336,5923,6914,4
Menstrual.secretion,7826,,1497,,,,8586,9331,1119,,,,,,,,2620,3731,7006,1
Menstrual.secretion,7629,,195,,,,8411,8658,590,,1917,,,,,,3691,4562,7420,2
Menstrual.secretion,7928,,2218,,,,8643,9190,918,,,,,,,,4059,5006,7439,3
Menstrual.secretion,7574,,910,,,,8807,8238,685,,,,,,,,4654,5395,7768,4
Menstrual.secretion,7955,,,,,,2800,416,724,,,177,,,,,5608,4097,4487,1
Menstrual.secretion,7288,,,,,,2365,2826,1962,,364,162,,,,,6398,4597,7293,2
Menstrual.secretion,7851,,,,,,1981,1847,1468,,,,,,,,6642,3805,5698,3
Menstrual.secretion,7597,,,,,,2555,2272,1209,,,287,,,,,6505,4288,5664,4
Menstrual.secretion,6465,217,544,,,,7935,3925,4799,257,1370,,,,,,4605,5756,6719,1
Menstrual.secretion,7762,,,,,,5694,2396,4264,232,2113,294,,,,,5976,6545,7493,2
Menstrual.secretion,7328,191,,,,,8409,4594,4750,314,4728,699,,,,,5412,6338,6892,3
Menstrual.secretion,6582,236,686,,,,5991,3462,8862,692,505,1117,,,,,4789,5940,6842,4
Menstrual.secretion,6352,295,1581,,,,9011,8819,8936,605,7005,1005,,,,,3490,4405,6901,1
Menstrual.secretion,7166,195,634,,,,8673,7820,8531,551,4644,903,,,,,4281,5239,6629,2
Menstrual.secretion,6786,767,,,,,8655,6696,9451,1370,3257,3383,,,,,4100,4413,7140,3
Menstrual.secretion,6356,381,,,,,8835,9253,8153,418,4223,,,,,,3555,4058,7096,4
Menstrual.secretion,7861,,,,,,,,,,,,,,,,1848,,328,1
Menstrual.secretion,7837,,,,,,,,,,,,,,,,1565,,444,2
Menstrual.secretion,8113,,,,,,,,,,,609,,,,,1947,,421,3
Menstrual.secretion,8091,,,,,,,,,,,196,,,,,2561,,459,4
Menstrual.secretion,7007,,,,,,,,,,1139,537,,,,,6724,163,1718,1
Menstrual.secretion,7145,,,,,,,,,,,1289,,,,,6928,265,1896,2
Menstrual.secretion,7221,,,,,,,246,,,,400,,,,,6887,158,1430,3
Menstrual.secretion,7606,,,,,,,,,,,197,,,,,6751,221,1068,4
Menstrual.secretion,6524,,,,,,,,,207,,1402,,,,,5865,382,2480,1
Menstrual.secretion,5998,,,,,,,,,,1093,1374,,,,,6051,306,1824,2
Menstrual.secretion,6657,234,,,,,,,,,1458,1368,,,,,6325,353,1903,3
Menstrual.secretion,6933,156,179,,,,,,,,,843,,,,,7199,366,2191,4
Menstrual.secretion,7043,212,481,,,,,,,,,351,,,,,6642,5163,1829,1
Menstrual.secretion,7041,216,3617,,,,,,,,1034,,,,,,6902,4543,1110,2
Menstrual.secretion,6787,316,1383,,,,,,523,,,,,,,,6616,4106,1514,3
Menstrual.secretion,7076,384,1800,,,,,,,,,,,,,,6810,4767,1956,4
Menstrual.secretion,6210,1264,4560,,,,,,,,,173,,,,,5679,6281,5842,1
Menstrual.secretion,6385,1549,4793,,,,1086,,,,4578,561,,,,,5728,6180,7330,2
Menstrual.secretion,6120,1519,2688,,,,1129,,,,1156,197,,,,,5947,6539,5716,3
Menstrual.secretion,6636,1292,4888,,,,1267,,,,3509,,,,,,5250,5755,5854,4
Menstrual.secretion,7744,,234,,,,,,,,,,,,,,1228,472,236,1
Menstrual.secretion,7763,,933,,,,,,,,,,,,,,372,1256,514,2
Menstrual.secretion,7971,,467,,,,,,,,562,,,,,,515,843,423,3
Menstrual.secretion,7895,,,,,,,,,,,,,,,,783,477,192,4
Menstrual.secretion,7718,,,,,,4804,867,,,,,,,,,711,2872,2020,1
Menstrual.secretion,7955,,,,,,2956,2396,,,,,,,,,1693,2122,669,2
Menstrual.secretion,7557,,415,,,,6101,1991,,,,,,,,,925,3670,1790,3
Menstrual.secretion,7915,161,,,,,4219,2462,,,,,,,,,737,2785,2531,4
Menstrual.secretion,6691,,403,,,,8830,6537,288,,,,,,,,1977,7068,7043,1
Menstrual.secretion,7150,229,258,,,,5687,7969,261,,,,,,,,5150,7525,7427,2
Menstrual.secretion,6549,443,577,,,,8737,9003,197,,,700,,,,,1917,7245,7260,3
Menstrual.secretion,7050,,389,,,,8763,7875,269,,,,,,,,1532,7194,6381,4
Menstrual.secretion,6077,,,,,,8552,9074,295,,,,,,,,5878,7103,7182,1
Menstrual.secretion,7501,,,,,,8573,8028,277,,,,,,,,3886,7250,6490,2
Menstrual.secretion,7496,,487,,,,8929,7739,160,,,,,,,,6304,7360,4982,3
Menstrual.secretion,8289,,,,,,7754,3551,,,,,,,,,3488,6304,2609,4
Menstrual.secretion,8198,,,,,,2807,368,,,,414,,,,,2595,479,2761,1
Menstrual.secretion,8252,,,,,,5038,1348,,,,339,,,,,6075,402,2975,2
Menstrual.secretion,8120,,,,,,5333,2083,,,,314,,,,,4290,503,3665,3
Menstrual.secretion,7504,259,,,,,8103,1103,,,,,,,,,4584,1353,7492,4
Menstrual.secretion,6211,1248,3484,,,,8589,7042,,2456,1536,3424,,,,,5097,6117,5975,1
Menstrual.secretion,5947,1895,,,,,8242,7730,222,1837,7880,6505,,,,,5065,6096,6123,2
Menstrual.secretion,6434,827,423,,,,8477,7776,,1595,1110,4309,,,,,5649,5714,6402,3
Menstrual.secretion,6872,954,320,,,,8654,6107,186,1389,1041,5023,,,,,5725,5255,6526,4
Menstrual.secretion,5964,3106,257,,,,7930,9195,211,2185,7442,4126,,,,,4708,5047,6643,1
Menstrual.secretion,5886,1738,,,,,7508,9387,178,1781,3155,5708,,,,,3951,5307,6415,2
Menstrual.secretion,7187,571,580,,,,8168,5541,,565,1278,4993,,,,,4398,3333,6924,3
Menstrual.secretion,5755,1424,597,,,,7714,8115,,2262,3184,5840,,,,,3883,5185,6530,4
Menstrual.secretion,6766,772,,,,,,,,,,,,,,,2895,247,2977,1
Menstrual.secretion,6857,1078,,,,,,,,,,,,,,,6708,220,5003,2
Menstrual.secretion,6730,757,,,,,,,,,,475,,,,,6877,405,5379,3
Menstrual.secretion,5403,1394,,,,,,,,,1387,,,,,,6561,503,7077,4
Menstrual.secretion,5705,3229,,,,,,,,,1302,258,,,,,3647,354,6933,1
Menstrual.secretion,5833,8772,,,,,,,,1899,1366,2246,,,,,4239,4573,6195,2
Menstrual.secretion,6575,7229,,,,,,,,409,969,838,,,,,5960,2154,7167,3
Menstrual.secretion,5745,8643,,,,,,,,537,1212,560,,,,,5172,2574,6889,4
Menstrual.secretion,6003,8712,213,,,,,,,521,1944,2792,,,,,3894,3303,6978,1
Menstrual.secretion,7885,2487,,,,,,,,,661,747,,,,,6888,1215,7263,2
Menstrual.secretion,6139,7742,,,,,,,,376,4057,1812,,,,,4513,3358,6591,3
Menstrual.secretion,5482,7498,,,,,,,,320,1655,3166,,,,,3741,2874,6806,4
Semen.fertile,,,,,,,,,,,,,485,,8112,2625,,,814,1
Semen.fertile,,,,,,,,,,,,,902,,4104,2311,,,,2
Semen.fertile,,,,,,,,,,,,,361,,7812,2666,,219,1461,3
Semen.fertile,,,,,,,,,,,,,870,,8309,1390,,219,683,4
Semen.fertile,,,,,,,,,,,,,153,874,6133,6723,,822,1916,1
Semen.fertile,,,,,,,,,,,,,4413,626,7410,7392,,758,5638,2
Semen.fertile,,,,,,,,,,,,,2897,507,6853,7917,,834,4479,3
Semen.fertile,,,,,,,,,,,,,2066,825,6957,5724,,746,4175,4
Semen.fertile,,,,,,,,,,,,,8970,2518,6954,6865,,3015,7437,1
Semen.fertile,,,,,,,,,,,,,8882,3785,6165,6451,,2874,7276,2
Semen.fertile,,,,,,,,,,,,,7933,2316,5987,6862,,3323,7034,3
Semen.fertile,,,,,,,,,,,,,8803,1995,5638,6989,,1407,7584,4
Semen.fertile,,,,,,,,,,,,,1077,345,7979,3139,,,1036,1
Semen.fertile,,,,,,,,,,,,,,286,7303,2183,,160,780,2
Semen.fertile,,,,,,,,,,,,,,,3093,340,,,229,3
Semen.fertile,,,,,,,,,,,,,,,4456,1926,,,241,4
Semen.fertile,,,,,,,,,,,,,214,2330,6659,6416,,2298,6205,1
Semen.fertile,,,,,,,,,,,,,2134,1782,6851,4192,,527,3643,2
Semen.fertile,,,,,,,,,,,,,,745,7072,7031,,466,3504,3
Semen.fertile,,,,,,,,,,,,,811,651,7004,7556,,,3249,4
Semen.fertile,,,,,,,,,,,,,1018,1628,6076,6861,,1043,5241,1
Semen.fertile,,,,,,,,,,,,,1970,1708,6716,7125,,401,4996,2
Semen.fertile,,,,,,,,,,,,,898,1279,6738,7084,,695,4043,3
Semen.fertile,,,,,,,,,,,,,,1312,7202,7976,,725,3482,4
Semen.fertile,,,,,,,,,,,,,,,2135,1648,,,429,1
Semen.fertile,,,,,,,,,,,,,,206,2585,742,,,524,2
Semen.fertile,,,,,,,,,,,,,858,,3522,745,,,414,3
Semen.fertile,,,,,,,,,,,,,1357,,2109,2323,,,254,4
Semen.fertile,,,,,,,,,,,,,1343,265,7029,5780,,412,815,1
Semen.fertile,,,,,,,,,,,,,2753,629,7879,1807,,583,2512,2
Semen.fertile,,,,,,,,,,,,,7964,600,7681,7511,,398,3103,3
Semen.fertile,,,,,,,,,,,,,4232,385,8660,3459,,262,2706,4
Semen.fertile,,,,,,,,,,,,,3726,908,7484,7674,,1025,3701,1
Semen.fertile,,,,,,,,,,,,,5488,1009,7799,7400,,1534,5302,2
Semen.fertile,,,,,,,,,,,,,8826,1210,7225,6515,,1634,5392,3
Semen.fertile,,,,,,,,,,,,,5310,813,7594,7204,,1065,4759,4
Semen.fertile,,,,,,,,,,,,,,,1648,6683,,,550,1
Semen.fertile,,,,,,,,,,,,,,174,692,2368,,,326,2
Semen.fertile,,,,,,,,,,,,,,,1097,797,,,283,3
Semen.fertile,,,,,,,,,,,,,327,,1063,1030,,,476,4
Semen.fertile,,,,,,,,,,,,,,685,4013,6796,,725,1543,1
Semen.fertile,,,,,,,,,,,,,,411,1300,3464,,214,742,2
Semen.fertile,,,,,,,,,,,,,549,203,2957,4376,,276,983,3
Semen.fertile,,,,,,,,,,,,,420,632,3361,7716,,292,1134,4
Semen.fertile,,,,,,,,,,,,,480,1024,8496,6913,,967,3715,1
Semen.fertile,,,,,,,,,,,,,493,1924,8262,6702,,1566,7513,2
Semen.fertile,,,,,,,,,,,,,583,1215,7801,7218,,1312,7183,3
Semen.fertile,,,,,,,,,,,,,,2473,7907,6960,,1754,7611,4
Semen.fertile,,,,,,,,,,,,,709,,7280,2737,,,386,1
Semen.fertile,,,,,,,152,,,,,,,,7198,2176,,,368,2
Semen.fertile,,,,,,,,,,,,,685,,8113,,,,153,3
Semen.fertile,,,,,,,,,,,,,,,7537,1316,,,462,4
Semen.fertile,,,,,,,,,,,,,,293,6262,5549,,329,632,1
Semen.fertile,,,,,,,,,,,,,1284,622,5755,7183,,620,3277,2
Semen.fertile,,,,,,,,,,,,,803,475,6329,4222,,238,788,3
Semen.fertile,,,,,,,,,,,,,235,855,5653,6748,,173,1278,4
Semen.fertile,160,,,,,,,,,,,,747,1474,6692,7065,,789,3387,1
Semen.fertile,,,,,,303,,,,,,,927,1372,6315,7013,,924,2645,2
Semen.fertile,,,,,,,,,,,,,1377,583,6295,7025,,979,3238,3
Semen.fertile,,,,,,,,,,,,,695,2113,6155,7403,,646,4981,4
Semen.fertile,,,,,,,,,,,,,8168,204,7357,7288,,1561,7303,1
Semen.fertile,,,,,,,,,,,,,8986,161,8094,7331,,1372,7424,2
Semen.fertile,,,,,,,,,,,,,5858,,6398,7112,,727,5604,3
Semen.fertile,,,,,,,,,,,,,2800,,3765,7486,,673,1547,4
Semen.fertile,,,,,,,,,,,,,1941,,7615,6268,,4290,5365,1
Semen.fertile,,,,,,,,,,,,,5474,165,8106,5370,,2810,6695,2
Semen.fertile,,,,,,,,,,,,,9175,185,8138,5580,,3199,7203,3
Semen.fertile,,,,,,,,,,,,,9433,,7669,5296,418,2704,6993,4
Semen.fertile,,,,,,,,,,,,,9323,244,7580,6107,,3877,7365,1
Semen.fertile,,,,,,,,,,,,,9276,573,6942,5524,,7114,7006,2
Semen.fertile,,,,,,,,,,,,,9260,312,7326,5736,,5479,7081,3
Semen.fertile,,,,,,,,,,,,,9322,344,7532,5896,,4800,7379,4
Semen.fertile,,,,,,,,,,,,,185,1189,289,5734,,843,2171,1
Semen.fertile,,,,,,,,,,,,,450,1385,421,6955,,491,2277,2
Semen.fertile,,,,,,,,,,,,,1062,1348,,6620,,696,3162,3
Semen.fertile,,,,,,,,,,,,,1063,1456,265,7455,,757,2543,4
Semen.fertile,,,,,,,,,,,,,8319,6378,685,5114,,3889,7454,1
Semen.fertile,,,,,,,,,,,,,8062,6486,1707,5913,,4271,7389,2
Semen.fertile,,,,,,,,,,,,,8139,5527,506,5716,,2906,7653,3
Semen.fertile,,,,,,,,,,,,,7028,3841,965,5349,,3768,7549,4
Semen.fertile,,,,,,,,,,,,,8849,3730,8103,6520,,6369,6094,1
Semen.fertile,,,,,,,,,,,,,9253,6641,1118,6064,,7048,6905,2
Semen.fertile,,,,,,,,,,,,,7719,6768,1258,5892,,6714,7135,3
Semen.fertile,,,,,,,,,,,,,6426,6306,2404,6384,,7038,6956,4
Semen.sterile,,,,,,,,,,,,,345,,,2008,,,,1
Semen.sterile,,,,,,,,,,,,,2592,,,1122,154,,227,2
Semen.sterile,,,,,,,,,,,,,564,,,1952,,,,3
Semen.sterile,,,,,,,,,,,,,909,,,3606,,,159,4
Semen.sterile,,,,,,,,,,,,,9337,1157,,7228,,1443,6545,1
Semen.sterile,,,,,,,,,,,,,7778,667,,7015,,544,4861,2
Semen.sterile,,,,,,,,,,,,,7325,286,,7022,,238,4236,3
Semen.sterile,,,,,,,,,,,,,8345,787,,7425,,612,4102,4
Semen.sterile,,,,,,,,,,,,,9314,2663,,6555,,3057,6936,1
Semen.sterile,,,,,,,,,,,,,9263,2436,,6733,,2396,7148,2
Semen.sterile,,,,,,,,,,,,,9277,2174,,6761,,2797,7040,3
Semen.sterile,,,,,,,,,,,,,9248,1320,,6887,,660,6126,4
Semen.sterile,,,,,,,,,,,,,,826,,2440,,,1013,1
Semen.sterile,,,,,,,,,,,,,758,255,,2944,,,780,2
Semen.sterile,,,,,,,,,,,,,869,392,,2907,,275,1348,3
Semen.sterile,,,,,,,,,,,,,,665,,5794,,424,1237,4
Semen.sterile,,,,,,,,,,,,,5384,2212,,6996,,930,6909,1
Semen.sterile,,,,,,,,,,,,,6983,1294,,6535,,765,4991,2
Semen.sterile,,,,,,,,,,,,,6014,1524,,6491,,797,7067,3
Semen.sterile,,,,,,,,,,,,,1470,1605,,6903,,571,3053,4
Semen.sterile,,,,,,,,,,,,711,8833,5992,,5370,,2416,7119,1
Semen.sterile,,,,,,,,,,,,,8884,5266,,5300,,2632,7410,2
Semen.sterile,,,,,,,,,,,,,3897,4474,,5505,,2875,7277,3
Semen.sterile,,,,,,,,,,,,,5937,4664,,5470,,3020,7294,4
Semen.sterile,,,,,,,,,,,,,,,,203,,,,1
Semen.sterile,,,,,,,,,,,,,384,,,1148,,,,2
Semen.sterile,,,,,,,,,,,,,,,,,,,,3
Semen.sterile,,,,,,,,,,,,,208,,,,,,,4
Semen.sterile,,,,,,,,,,,,,6914,256,,2453,,378,4627,1
Semen.sterile,,,,,,,,,,,,,1420,,,3716,,289,1251,2
Semen.sterile,,,,,,,,,,,,,1418,,,5124,,,1204,3
Semen.sterile,,,,,,,,,,,,,1739,,,5812,,,2091,4
Semen.fertile,,,,,,,,,,,,,5590,366,275,7110,,571,6860,1
Semen.fertile,,,,,,,,,,,,,8227,598,537,6717,,1269,6859,2
Semen.fertile,,,,,,,,,,,,,8471,540,783,7185,,1663,7007,3
Semen.fertile,,,,,,,,,,,,,5765,305,476,7475,,605,7541,4
Semen.fertile,,,,,,,,,,,,,3432,1824,4019,7030,,2824,6037,1
Semen.fertile,,,,,,,,,,,,,3703,1803,2558,7740,,2760,6506,2
Semen.fertile,,,,,,,,,,,,,9000,2377,4498,6230,,3733,7519,3
Semen.fertile,,,,,,,,,,,,,9377,6578,8341,6955,,7159,7262,4
Semen.fertile,,,,,,,,,,,,,9168,5373,,6812,,3242,6569,1
Semen.fertile,,192,,,,,,,,,,,9309,4314,,6587,,2949,7178,2
Semen.fertile,,,,,,,,,,,,,6085,2088,,7201,,1798,7068,3
Nasal.mucosa,,,,,3092,3976,371,,,,,,,,,1056,,427,5910,1
Nasal.mucosa,,,,,2665,3824,1121,,,,,,,,,754,,352,4769,2
Nasal.mucosa,,,,,2487,3123,2625,,,,,,,,,,,283,3872,3
Nasal.mucosa,,,,,3926,5565,1314,,,,,,,,,964,,269,4202,4
Nasal.mucosa,,,,,8512,7468,8162,,,,,,,,,2457,,1884,7411,1
Nasal.mucosa,,,,,8451,7817,7860,,,,,,,,,3357,,1719,7424,2
Nasal.mucosa,,,380,,8257,7838,7442,,,,,,,,,4657,,1568,7486,3
Nasal.mucosa,,,281,,8694,7671,7586,,,,,,,,,3892,,2137,6930,4
Nasal.mucosa,,,906,,7835,6323,8416,,229,,,,,,,7192,,5440,6527,1
Nasal.mucosa,,,172,,8611,7231,8635,,299,,,,532,,,7879,,3937,6556,2
Nasal.mucosa,,,908,,8374,7425,8904,,,,,,,,,7194,,3704,6897,3
Nasal.mucosa,,,611,,7826,7103,8286,,,,,,,,,4136,,4624,6589,4
Nasal.mucosa,,,,,609,,,,,,,,,,,,,,,1
Nasal.mucosa,,,,,1878,,,,,,,,,,,,,,,2
Nasal.mucosa,,,,,395,,,,,,,,,,,,,,,3
Nasal.mucosa,,,,,2498,,,,,,,,,,,,,,754,4
Nasal.mucosa,,,,,7936,,,,,,,,,,,,427,322,612,1
Nasal.mucosa,,,,,5149,,,,,,,,,,,,,247,348,2
Nasal.mucosa,,,,,7575,,,,,,,,,,,,,382,445,3
Nasal.mucosa,,,,,3896,,1173,,,,,,,,,,,276,414,4
Nasal.mucosa,,,,,7642,,,,,,,,,,,,,331,516,1
Nasal.mucosa,,,,,8549,,,,,,,,,,,,,468,925,2
Nasal.mucosa,,,,,8148,,,,,,,,,,,,,405,542,3
Nasal.mucosa,,,,,7914,,,,,,,,,,,,400,465,755,4
Nasal.mucosa,,,,,6611,911,,,,,,,,,,,,1480,455,1
Nasal.mucosa,,,,,5828,,,,,,,,,,,,,1137,388,2
Nasal.mucosa,,,,,3155,,,,,,,,,,,,,997,264,3
Nasal.mucosa,,,213,,2757,,,,,,,,,,,,,640,250,4
Nasal.mucosa,,,673,,8434,944,,,,,,,,,,671,,3486,1383,1
Nasal.mucosa,,,,,8699,327,,,,,,,,,,3097,,3041,1097,2
Nasal.mucosa,,,184,,7795,,,,,,,,,,,,,4727,1656,3
Nasal.mucosa,,,,,8475,1672,,,,,,,,,,1191,,3840,1142,4
Nasal.mucosa,,,,,7969,1563,933,,,,,,,,,617,,6949,2855,1
Nasal.mucosa,,,,,7426,4366,,,,,,,,,,5090,,7036,7151,2
Nasal.mucosa,,,382,,6664,3290,,,,,,,,,,5867,,7196,5492,3
Nasal.mucosa,,,471,,7776,,963,,,,,,,,,1475,,7038,3966,4
Nasal.mucosa,,,,,1944,,,,,,,,313,,,,343,1671,489,1
Nasal.mucosa,,,,,2101,,,,,,,,,,,,,1429,456,2
Nasal.mucosa,,,,,3760,,,,,,,,,,,,,1129,247,3
Nasal.mucosa,,,,,2219,,189,,,,,,,,,,274,1714,413,4
Nasal.mucosa,,,829,,8416,,,,,,,,,,,,2061,6979,1943,1
Nasal.mucosa,,,934,,8284,1009,806,,,,,,,,,,2861,7012,2501,2
Nasal.mucosa,,,960,,8306,,1867,,,,,,,,,,1708,6991,1673,3
Nasal.mucosa,,,542,,8369,,,,,,,,,,,,1042,5370,1594,4
Nasal.mucosa,,,464,,8078,,3887,,,,,,,,,,5331,7136,4606,1
Nasal.mucosa,,,1016,,8336,977,4526,,,,,,,,,,3676,7386,3066,2
Nasal.mucosa,,,596,,7773,,4254,,,,,,,,,,4261,7011,2465,3
Nasal.mucosa,,,651,,7652,1008,2927,,,,,,,,,,2714,7486,4244,4
Nasal.mucosa,,,,,4934,,,,,,,,,,,,,309,253,1
Nasal.mucosa,,,,,2178,,,,,,,,,,,,840,469,160,2
Nasal.mucosa,,,,,4262,,1197,,,,,,,,,,,425,,3
Nasal.mucosa,,,362,,1849,458,1002,,,,,,,,,,,,,4
Nasal.mucosa,,,,,8742,1198,855,,,,,,,,,,1134,1312,418,1
Nasal.mucosa,,,1105,,8286,583,5398,,,,,,,,,,1017,1058,349,2
Nasal.mucosa,,,,453,8614,806,1484,,,,,,,,,,1059,1827,564,3
Nasal.mucosa,,,,,8383,,5430,,,,,,,,,,1144,2174,853,4
Nasal.mucosa,,,2357,,6996,2165,7679,,,,,,,,,,3889,7194,4434,1
Nasal.mucosa,,,501,,8153,,1073,,,,,,,,,,3543,5203,2026,2
Nasal.mucosa,,,1954,,8055,1786,3076,,,,,472,,,,,1256,6796,3460,3
Nasal.mucosa,,,150,,8541,1134,6551,,,,,,,,,,2736,5387,2760,4
Nasal.mucosa,,,,,1913,,2339,,,,,,,,,,,355,153,1
Nasal.mucosa,,,272,,4657,,597,,,,,,,,,,,628,279,2
Nasal.mucosa,,,,,1505,,,,,,,,,,,,,475,251,3
Nasal.mucosa,,,,,6634,,844,,,,,,317,,,,,1315,852,4
Nasal.mucosa,,,1374,,8506,1893,1872,,,,,,,,,878,,4904,3968,1
Nasal.mucosa,,,1409,,8391,,4319,,,,,,,,,1042,,6971,6177,2
Nasal.mucosa,,,1450,,8183,,1634,,,,,,,,,1440,,4337,3314,3
Nasal.mucosa,,,321,,8712,,1480,,,,,,,,,708,,4682,3135,4
Nasal.mucosa,,,1157,,8101,,7409,,,,,,,,,1284,,4933,1220,1
Nasal.mucosa,,,5064,,7967,,6389,,,,,,,,,1149,,7183,7240,2
Nasal.mucosa,,,2228,,7958,436,1835,,,,,486,,,,710,,7165,7024,3
Nasal.mucosa,,,2541,,8344,618,2964,,,,,,,,,1967,,7443,7429,4
Nasal.mucosa,,,,,955,,,,,,,,,,,,,219,2813,1
Nasal.mucosa,,,,,737,,,,,,,,,,,,,266,2113,2
Nasal.mucosa,,,,,940,,734,,,,,,,,,277,,669,7160,3
Nasal.mucosa,,,,,1172,171,,,,,,,,,,540,,,1427,4
Nasal.mucosa,,,,,8449,4795,709,,,,,,,,,2549,,1016,5569,1
Nasal.mucosa,,,532,,6766,1781,,,,,,,,,,,,1327,6960,2
Nasal.mucosa,,,,,6943,917,908,,,,,,,,,704,,913,7264,3
Nasal.mucosa,,,,,7634,3159,986,,,,,,,,,898,,970,7153,4
Nasal.mucosa,,,,,8293,1711,,,,,,,,,,871,,3424,6736,1
Nasal.mucosa,,,,,7670,419,1008,350,,,,,,,,722,,1573,7130,2
Nasal.mucosa,,,,,7800,1994,,,,,,,,,,2045,,2325,6839,3
Nasal.mucosa,,,,,8581,1171,1021,,,,,,,,,2186,,2277,6814,4
Nasal.mucosa,,,,,3143,,4854,205,,,,,,,,,,1642,1795,1
Nasal.mucosa,,,,,2900,,2384,,,,,,,,,,,1300,2016,2
Nasal.mucosa,,,,,2923,,2215,,,,,,,,,,,2196,3734,3
Nasal.mucosa,,,,,1100,,2995,,,,,,,,,,,1308,1793,4
Nasal.mucosa,,,320,,8503,,7726,,,,,,,,,2492,,7154,7231,1
Nasal.mucosa,,,734,,8201,,4562,,,,,,,,,741,,6127,4816,2
Nasal.mucosa,,,256,,7600,,2208,,,,,,,,,,,6895,6715,3
Nasal.mucosa,,,557,,7982,1320,5635,,,,,,,,,856,,4890,4327,4
Nasal.mucosa,162,,1899,,8055,937,8926,,,,,,,,,6908,,6377,6479,1
Nasal.mucosa,,,272,,8292,,8014,,,,,,,,,2379,,7167,6584,2
Nasal.mucosa,,,1165,,8641,1871,8011,,,,,,,,,692,,7242,7247,3
Nasal.mucosa,,,999,,8768,374,8627,,,,,,,,,652,,7435,7525,4
Nasal.mucosa,,,,,,,1259,,,,,,,,,,2244,1457,894,1
Nasal.mucosa,,,,,1225,,,,,,,,,,,,3158,2026,1411,2
Nasal.mucosa,,,,,446,,,,,,,,,,,,3158,1488,1033,3
Nasal.mucosa,,,1030,,1791,1514,2830,,,,,,,,,,5794,6402,4209,1
Nasal.mucosa,,,2061,,1890,,1919,,,,,,,,,,5518,6453,7259,2
Nasal.mucosa,,,353,,1620,712,1256,,,,,,,,,,6480,6928,7275,3
Nasal.mucosa,,,,,1820,,,,,,,,,,,,5544,6299,7284,4
Nasal.mucosa,,,4372,,7463,968,6262,,,,,,,,,,7000,7000,6897,1
Nasal.mucosa,,,1273,,7409,833,831,,,,,,,,,,4564,5317,7495,2
Nasal.mucosa,,,,,4367,856,1429,,,,,,,,,,5047,5510,7216,3
Nasal.mucosa,,,1529,,7249,,2427,,,,,,,,,,4558,4661,7554,4
Nasal.mucosa,,,,,,670,,,,,,,,,,,3566,1911,1730,1
Nasal.mucosa,,,,,,,316,,,,,,,,,,2586,563,598,2
Nasal.mucosa,,,,,182,295,,,,,,,,,,,6931,2058,2467,3
Nasal.mucosa,,,,,360,,,,,,,,,,,,4727,1937,3329,4
Nasal.mucosa,,,,,1096,,,,,,,,,,,,6059,5729,6872,1
Nasal.mucosa,,,,,356,1180,,,,,,,,,,,6141,6812,6901,2
Nasal.mucosa,,,,,1560,1636,,,,,,,,,,,6172,6941,7206,3
Nasal.mucosa,,,,,2853,,1097,,,,,,,,,,5488,6396,7205,4
Nasal.mucosa,,,631,,1264,1264,,,,,,,,,,,4660,5784,7398,1
Nasal.mucosa,,,,,1650,257,,,,,,,,,,,4710,5748,7248,2
Nasal.mucosa,,,,,627,,,,,,,,,,,,5101,6362,7347,3
Nasal.mucosa,,,267,,2503,951,768,,,,,,,,,,4556,5445,5137,4
Nasal.mucosa,,,,,1019,2760,705,,,,,,,,,368,,331,191,1
Nasal.mucosa,,,320,,3335,7234,,,,,,2577,,,,1222,1204,1388,1591,2
Nasal.mucosa,,,575,,2615,7338,3509,,,,,,,,,476,,1051,986,3
Nasal.mucosa,,,944,,6010,7475,2093,,,,,,,,,1667,,1038,1578,4
Nasal.mucosa,,,,,754,4911,1397,,,,,,,,,664,,788,767,5
Nasal.mucosa,,,756,,2818,2852,2420,,,,852,,,,,470,,952,1455,6
Blank_PCR,,,,,,,,,,,,,,,,,,,,1
