,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA,replicate_value
Blood,6739,,,,,,,,,,,,,,,,,156,969,4
Blood,5787,612,,,,,,,,,,,,,,1919,,2035,7475,1
Blood,6420,1309,,,,,,,,,,,,,,3220,,1724,7479,2
Blood,7321,323,,,,,,,,,,,,,,1365,,687,2478,3
Blood,6961,340,,,,,,,,,,,,,,2166,,605,1629,4
Blood,6186,1776,,,,,,,,,,,,,,2294,,1976,7466,1
Blood,6547,1399,,,,,,,,,,,,,,2882,,2707,7439,2
Blood,6180,1077,,,,,,,,,,,,,,942,,1780,5681,3
Blood,6468,2355,,,,,,,,,,,,,,3029,,2556,7405,4
Blood,6889,499,,,,,,,,,,,,,,,6936,2415,2882,1
Blood,6201,214,,,,,,,,,,,,,,,7225,3363,3257,2
Blood,7008,396,,,,,,,,,,,,,,,6615,2668,2556,3
Blood,6158,2028,,,,,,,,,,,,,,,7128,7162,7091,4
Blood,7096,1049,768,,,,,,,,,,,,,,6638,4928,4486,1
Blood,7859,513,290,,,,,,,,,,,,,,6882,2655,1911,2
Blood,7399,417,264,,,,,,,,,,,,,,6621,2766,2182,3
Blood,6094,479,560,,,,,,,,,,,,,,5894,3334,2560,4
Blood,5753,3126,837,,,,,,,,,,,,,,4859,2366,6777,1
Blood,6986,2858,844,,,,,,,,,179,,,,,5458,6984,7849,2
Blood,5957,4660,945,,,,,,,,,,,,,,5048,4516,7492,3
Blood,7263,2366,671,,,,,,,,,,,,,,5663,6748,7508,4
Blood,5237,2724,788,,,,,,,,,,,,,5767,,6943,6914,1
Blood,5515,3456,,,,,,,,,,,,,,5655,,6999,6947,2
Blood,5311,2401,,,,,,,,,,,,,,5819,,6897,7317,3
Blood,6108,2594,679,,,,,,,,,,,,,5283,,6935,7061,4
Blood,4985,1789,378,,,,,,,,,,,,,6394,,7101,5525,1
Blood,6214,5740,1956,,,,,,,,,,,,,6174,,6909,6671,2
Blood,5625,8481,1213,,,,,,,,,,,,,5909,,6247,6267,3
Blood,5589,5363,1058,,,,,,,,,458,,,,5760,,6980,6785,4
Blood,5960,8886,4608,,,,,,,,,,,,,5846,,6302,6331,1
Blood,723,9016,3125,,,,,,,,,,,,,5795,,6400,6688,2
Blood,770,8851,2736,,,,,,,,,,,,,5720,,6408,6584,3
Blood,878,8855,2782,,,,,,,,,,,,,5892,,6515,6677,4
Blood,6133,1230,1135,,,,,,,,,,,,,3551,,3469,2894,1
Blood,4971,3071,2314,,,,,,,,,,,,,6232,,5262,5963,2
Blood,6446,1171,273,,,,,,,,,,,,,3602,,3414,3473,3
Blood,5442,2490,1023,,,,,,,,,,,,,2403,,5151,6163,4
Blood,4011,,,,,,,,,,,,,,,,,187,196,5
Blood,6897,1532,296,,,,,,,,,,,,,4093,,3866,4392,6
Saliva,,,,799,,,,,,,,,,,,,,,,1
Saliva,,,,593,875,,,,,,,,,,,,,,,2
Saliva,,,,1424,776,,,,,,,,,,,,,,175,3
Saliva,756,,,691,5925,,,,,,,,,,,,,735,5469,1
Saliva,,,,1566,4888,,,,,,,,,,,,,251,7213,2
Saliva,264,,,2262,1892,,,,,,,,,,,,,293,7475,3
Saliva,,,,2933,2025,,,,,,,,,,,,,,7315,4
Saliva,170,,,1611,1768,,,,,,,,,,,,,848,2752,1
Saliva,240,,,885,4092,,,,,,,,,,,,,,3799,2
Saliva,522,,,793,762,,,,,,,,,,,,,387,2634,3
Saliva,,,,1172,871,,,,,,,,,,,,,170,1960,4
Saliva,,,,384,544,,,,,,,,,,,,,,,1
Saliva,,,,692,5069,,,,,,,,,,,,,217,384,2
Saliva,,,,1223,814,,,,,,,,,,,,,,238,3
Saliva,,,,426,3927,,,,,,,,,,,,,,622,4
Saliva,378,,,5217,6420,962,,,,,,,,,,,,991,6957,1
Saliva,738,,,6575,8142,,,,,,,,,,,,,2220,7744,2
Saliva,379,,,7732,8359,,1164,,,,,,,,,,,892,7359,3
Saliva,792,,,5996,7981,,,,,,,,,,,,,1517,7351,4
Saliva,699,,,6840,8159,,,,,,,,,,,,,2345,6963,1
Saliva,324,,,3327,7479,,,,,,,,,,,,,877,7527,2
Saliva,330,,,3494,6532,,,,,,,,,,,,,1762,7258,3
Saliva,660,,,3412,4225,,,,,,,,,,,,,1226,7442,4
Saliva,,,,,580,,,,,,,,,,,,,,,1
Saliva,,,,892,211,,,,,,,,,,,,,,,2
Saliva,,,,349,532,,,,,,,,,,,,,,,3
Saliva,,,,648,249,,,,,,,,,,,,,,,4
Saliva,,,,3613,6226,,,,,,,,,,,,,484,455,1
Saliva,,,,3630,3792,,,,,,,,,,,,,217,459,2
Saliva,,,,5348,4579,,,,,,,,,,,,,884,1143,3
Saliva,,,,4209,2518,,,,,,,,,,,,,246,341,4
Saliva,,,,9029,7414,,,,,,,,,,,,,1493,7206,1
Saliva,,,,8666,8188,,,,,,,,,,,,,1023,6666,2
Saliva,,,,8220,4846,,,,,,,,,,,,,966,2904,3
Saliva,,,,7638,5692,,,,,,,,,,,,,1157,2492,4
