Blank_PCR,Blood,Menstrual.secretion,Nasal.mucosa,Saliva,Semen.fertile,Semen.sterile,Skin,Skin.penile,Vaginal.mucosa,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA
0,1,0,0,0,0,0,0,0,0,5715.0,7572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753.0,2070.0,5980.0
0,1,0,0,0,0,0,0,0,0,6066.0,4547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,1301.0,3918.0
0,1,0,0,0,0,0,0,0,0,5967.0,5556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.0,3740.0
0,1,0,0,0,0,0,0,0,0,6307.0,5555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,1118.0,4551.0
0,1,0,0,0,0,0,0,0,0,5358.0,8875.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2511.0,4169.0,6723.0
0,1,0,0,0,0,0,0,0,0,5882.0,8963.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,5029.0,7526.0
0,1,0,0,0,0,0,0,0,0,5929.0,9046.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3849.0,4351.0,7519.0
0,1,0,0,0,0,0,0,0,0,6727.0,8680.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.0,3164.0,6638.0
0,1,0,0,0,0,0,0,0,0,5719.0,7969.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6604.0,6615.0,6710.0
0,1,0,0,0,0,0,0,0,0,7749.0,9025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3808.0,6485.0,7518.0
0,1,0,0,0,0,0,0,0,0,6210.0,8529.0,1146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6902.0,7272.0,7070.0
0,1,0,0,0,0,0,0,0,0,6199.0,8609.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6822.0,7110.0,6937.0
0,1,0,0,0,0,0,0,0,0,5441.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.0,0.0,713.0,1572.0
0,1,0,0,0,0,0,0,0,0,6335.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,0.0,1015.0,1826.0
0,1,0,0,0,0,0,0,0,0,5294.0,1565.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,2802.0,0.0,1182.0,2394.0
0,1,0,0,0,0,0,0,0,0,6498.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,790.0,1395.0
0,1,0,0,0,0,0,0,0,0,5374.0,2463.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6190.0,0.0,2139.0,2206.0
0,1,0,0,0,0,0,0,0,0,7000.0,4182.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5284.0,0.0,4572.0,6486.0
0,1,0,0,0,0,0,0,0,0,6676.0,5079.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2398.0,0.0,4589.0,7424.0
0,1,0,0,0,0,0,0,0,0,7355.0,2017.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5690.0,0.0,2440.0,2660.0
0,1,0,0,0,0,0,0,0,0,4574.0,8638.0,3383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5977.0,0.0,7461.0,7366.0
0,1,0,0,0,0,0,0,0,0,5869.0,7458.0,1953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6532.0,0.0,7409.0,7591.0
0,1,0,0,0,0,0,0,0,0,7000.0,9063.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.0,0.0,7496.0,7164.0
0,1,0,0,0,0,0,0,0,0,5402.0,4050.0,1991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6892.0,0.0,4910.0,5605.0
0,1,0,0,0,0,0,0,0,0,6845.0,1702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.0,972.0,2935.0
0,1,0,0,0,0,0,0,0,0,6732.0,1447.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,1969.0
0,1,0,0,0,0,0,0,0,0,6382.0,2105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,956.0,2627.0
0,1,0,0,0,0,0,0,0,0,6062.0,2386.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.0,2627.0
0,1,0,0,0,0,0,0,0,0,4904.0,7883.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3458.0,3856.0,6864.0
0,1,0,0,0,0,0,0,0,0,7224.0,7285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2544.0,3407.0,7439.0
0,1,0,0,0,0,0,0,0,0,7248.0,4263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.0,2737.0,6070.0
0,1,0,0,0,0,0,0,0,0,4790.0,5848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.0,2863.0,7284.0
0,1,0,0,0,0,0,0,0,0,5598.0,9070.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4704.0,7048.0,7073.0
